Pressure:	5.900000 (bar)	 density:	0.023173 (A**-3)	chempot:	-5.253420 (K)
Pressure:	6.000000 (bar)	 density:	0.023192 (A**-3)	chempot:	-5.222178 (K)
Pressure:	6.100000 (bar)	 density:	0.023212 (A**-3)	chempot:	-5.190962 (K)
Pressure:	6.200000 (bar)	 density:	0.023231 (A**-3)	chempot:	-5.159772 (K)
Pressure:	6.300000 (bar)	 density:	0.023250 (A**-3)	chempot:	-5.128608 (K)
Pressure:	6.400000 (bar)	 density:	0.023270 (A**-3)	chempot:	-5.097470 (K)
Pressure:	6.500000 (bar)	 density:	0.023289 (A**-3)	chempot:	-5.066358 (K)
Pressure:	6.600000 (bar)	 density:	0.023308 (A**-3)	chempot:	-5.035271 (K)
Pressure:	6.700000 (bar)	 density:	0.023327 (A**-3)	chempot:	-5.004210 (K)
Pressure:	6.800000 (bar)	 density:	0.023346 (A**-3)	chempot:	-4.973174 (K)
Pressure:	6.900000 (bar)	 density:	0.023365 (A**-3)	chempot:	-4.942162 (K)
Pressure:	7.000000 (bar)	 density:	0.023383 (A**-3)	chempot:	-4.911176 (K)
Pressure:	7.100000 (bar)	 density:	0.023402 (A**-3)	chempot:	-4.880215 (K)
Pressure:	7.200000 (bar)	 density:	0.023421 (A**-3)	chempot:	-4.849278 (K)
Pressure:	7.300000 (bar)	 density:	0.023439 (A**-3)	chempot:	-4.818366 (K)
Pressure:	7.400000 (bar)	 density:	0.023458 (A**-3)	chempot:	-4.787478 (K)
Pressure:	7.500000 (bar)	 density:	0.023476 (A**-3)	chempot:	-4.756615 (K)
Pressure:	7.600000 (bar)	 density:	0.023494 (A**-3)	chempot:	-4.725775 (K)
Pressure:	7.700000 (bar)	 density:	0.023513 (A**-3)	chempot:	-4.694960 (K)
Pressure:	7.800000 (bar)	 density:	0.023531 (A**-3)	chempot:	-4.664168 (K)
Pressure:	7.900000 (bar)	 density:	0.023549 (A**-3)	chempot:	-4.633401 (K)
Pressure:	8.000000 (bar)	 density:	0.023567 (A**-3)	chempot:	-4.602657 (K)
Pressure:	8.100000 (bar)	 density:	0.023585 (A**-3)	chempot:	-4.571936 (K)
Pressure:	8.200000 (bar)	 density:	0.023603 (A**-3)	chempot:	-4.541239 (K)
Pressure:	8.300000 (bar)	 density:	0.023621 (A**-3)	chempot:	-4.510565 (K)
Pressure:	8.400000 (bar)	 density:	0.023639 (A**-3)	chempot:	-4.479914 (K)
Pressure:	8.500000 (bar)	 density:	0.023656 (A**-3)	chempot:	-4.449287 (K)
Pressure:	8.600000 (bar)	 density:	0.023674 (A**-3)	chempot:	-4.418682 (K)
Pressure:	8.700000 (bar)	 density:	0.023692 (A**-3)	chempot:	-4.388100 (K)
Pressure:	8.800000 (bar)	 density:	0.023709 (A**-3)	chempot:	-4.357540 (K)
Pressure:	8.900000 (bar)	 density:	0.023727 (A**-3)	chempot:	-4.327003 (K)
Pressure:	9.000000 (bar)	 density:	0.023744 (A**-3)	chempot:	-4.296489 (K)
Pressure:	9.100000 (bar)	 density:	0.023761 (A**-3)	chempot:	-4.265997 (K)
Pressure:	9.200000 (bar)	 density:	0.023779 (A**-3)	chempot:	-4.235527 (K)
Pressure:	9.300000 (bar)	 density:	0.023796 (A**-3)	chempot:	-4.205080 (K)
Pressure:	9.400000 (bar)	 density:	0.023813 (A**-3)	chempot:	-4.174654 (K)
Pressure:	9.500000 (bar)	 density:	0.023830 (A**-3)	chempot:	-4.144250 (K)
Pressure:	9.600000 (bar)	 density:	0.023847 (A**-3)	chempot:	-4.113868 (K)
Pressure:	9.700000 (bar)	 density:	0.023864 (A**-3)	chempot:	-4.083508 (K)
Pressure:	9.800000 (bar)	 density:	0.023881 (A**-3)	chempot:	-4.053169 (K)
Pressure:	9.900000 (bar)	 density:	0.023898 (A**-3)	chempot:	-4.022852 (K)
Pressure:	10.000000 (bar)	 density:	0.023915 (A**-3)	chempot:	-3.992556 (K)
Pressure:	10.100000 (bar)	 density:	0.023932 (A**-3)	chempot:	-3.962282 (K)
Pressure:	10.200000 (bar)	 density:	0.023949 (A**-3)	chempot:	-3.932028 (K)
Pressure:	10.300000 (bar)	 density:	0.023965 (A**-3)	chempot:	-3.901796 (K)
Pressure:	10.400000 (bar)	 density:	0.023982 (A**-3)	chempot:	-3.871585 (K)
Pressure:	10.500000 (bar)	 density:	0.023998 (A**-3)	chempot:	-3.841395 (K)
Pressure:	10.600000 (bar)	 density:	0.024015 (A**-3)	chempot:	-3.811225 (K)
Pressure:	10.700000 (bar)	 density:	0.024031 (A**-3)	chempot:	-3.781076 (K)
Pressure:	10.800000 (bar)	 density:	0.024048 (A**-3)	chempot:	-3.750948 (K)
Pressure:	10.900000 (bar)	 density:	0.024064 (A**-3)	chempot:	-3.720840 (K)
Pressure:	11.000000 (bar)	 density:	0.024080 (A**-3)	chempot:	-3.690752 (K)
Pressure:	11.100000 (bar)	 density:	0.024097 (A**-3)	chempot:	-3.660685 (K)
Pressure:	11.200000 (bar)	 density:	0.024113 (A**-3)	chempot:	-3.630638 (K)
Pressure:	11.300000 (bar)	 density:	0.024129 (A**-3)	chempot:	-3.600612 (K)
Pressure:	11.400000 (bar)	 density:	0.024145 (A**-3)	chempot:	-3.570605 (K)
Pressure:	11.500000 (bar)	 density:	0.024161 (A**-3)	chempot:	-3.540618 (K)
Pressure:	11.600000 (bar)	 density:	0.024177 (A**-3)	chempot:	-3.510651 (K)
Pressure:	11.700000 (bar)	 density:	0.024193 (A**-3)	chempot:	-3.480704 (K)
Pressure:	11.800000 (bar)	 density:	0.024209 (A**-3)	chempot:	-3.450777 (K)
Pressure:	11.900000 (bar)	 density:	0.024225 (A**-3)	chempot:	-3.420869 (K)
Pressure:	12.000000 (bar)	 density:	0.024240 (A**-3)	chempot:	-3.390980 (K)
Pressure:	12.100000 (bar)	 density:	0.024256 (A**-3)	chempot:	-3.361111 (K)
Pressure:	12.200000 (bar)	 density:	0.024272 (A**-3)	chempot:	-3.331262 (K)
Pressure:	12.300000 (bar)	 density:	0.024288 (A**-3)	chempot:	-3.301432 (K)
Pressure:	12.400000 (bar)	 density:	0.024303 (A**-3)	chempot:	-3.271621 (K)
Pressure:	12.500000 (bar)	 density:	0.024319 (A**-3)	chempot:	-3.241829 (K)
Pressure:	12.600000 (bar)	 density:	0.024334 (A**-3)	chempot:	-3.212056 (K)
Pressure:	12.700000 (bar)	 density:	0.024350 (A**-3)	chempot:	-3.182301 (K)
Pressure:	12.800000 (bar)	 density:	0.024365 (A**-3)	chempot:	-3.152566 (K)
Pressure:	12.900000 (bar)	 density:	0.024380 (A**-3)	chempot:	-3.122850 (K)
Pressure:	13.000000 (bar)	 density:	0.024396 (A**-3)	chempot:	-3.093152 (K)
Pressure:	13.100000 (bar)	 density:	0.024411 (A**-3)	chempot:	-3.063473 (K)
Pressure:	13.200000 (bar)	 density:	0.024426 (A**-3)	chempot:	-3.033812 (K)
Pressure:	13.300000 (bar)	 density:	0.024441 (A**-3)	chempot:	-3.004170 (K)
Pressure:	13.400000 (bar)	 density:	0.024457 (A**-3)	chempot:	-2.974547 (K)
Pressure:	13.500000 (bar)	 density:	0.024472 (A**-3)	chempot:	-2.944941 (K)
Pressure:	13.600000 (bar)	 density:	0.024487 (A**-3)	chempot:	-2.915354 (K)
Pressure:	13.700000 (bar)	 density:	0.024502 (A**-3)	chempot:	-2.885785 (K)
Pressure:	13.800000 (bar)	 density:	0.024517 (A**-3)	chempot:	-2.856234 (K)
Pressure:	13.900000 (bar)	 density:	0.024532 (A**-3)	chempot:	-2.826701 (K)
Pressure:	14.000000 (bar)	 density:	0.024547 (A**-3)	chempot:	-2.797187 (K)
Pressure:	14.100000 (bar)	 density:	0.024561 (A**-3)	chempot:	-2.767690 (K)
Pressure:	14.200000 (bar)	 density:	0.024576 (A**-3)	chempot:	-2.738210 (K)
Pressure:	14.300000 (bar)	 density:	0.024591 (A**-3)	chempot:	-2.708749 (K)
Pressure:	14.400000 (bar)	 density:	0.024606 (A**-3)	chempot:	-2.679305 (K)
Pressure:	14.500000 (bar)	 density:	0.024620 (A**-3)	chempot:	-2.649879 (K)
Pressure:	14.600000 (bar)	 density:	0.024635 (A**-3)	chempot:	-2.620470 (K)
Pressure:	14.700000 (bar)	 density:	0.024650 (A**-3)	chempot:	-2.591079 (K)
Pressure:	14.800000 (bar)	 density:	0.024664 (A**-3)	chempot:	-2.561705 (K)
Pressure:	14.900000 (bar)	 density:	0.024679 (A**-3)	chempot:	-2.532348 (K)
Pressure:	15.000000 (bar)	 density:	0.024693 (A**-3)	chempot:	-2.503009 (K)
Pressure:	15.100000 (bar)	 density:	0.024708 (A**-3)	chempot:	-2.473687 (K)
Pressure:	15.200000 (bar)	 density:	0.024722 (A**-3)	chempot:	-2.444382 (K)
Pressure:	15.300000 (bar)	 density:	0.024736 (A**-3)	chempot:	-2.415094 (K)
Pressure:	15.400000 (bar)	 density:	0.024751 (A**-3)	chempot:	-2.385823 (K)
Pressure:	15.500000 (bar)	 density:	0.024765 (A**-3)	chempot:	-2.356569 (K)
Pressure:	15.600000 (bar)	 density:	0.024779 (A**-3)	chempot:	-2.327332 (K)
Pressure:	15.700000 (bar)	 density:	0.024794 (A**-3)	chempot:	-2.298111 (K)
Pressure:	15.800000 (bar)	 density:	0.024808 (A**-3)	chempot:	-2.268908 (K)
Pressure:	15.900000 (bar)	 density:	0.024822 (A**-3)	chempot:	-2.239721 (K)
Pressure:	16.000000 (bar)	 density:	0.024836 (A**-3)	chempot:	-2.210550 (K)
Pressure:	16.100000 (bar)	 density:	0.024850 (A**-3)	chempot:	-2.181396 (K)
Pressure:	16.200000 (bar)	 density:	0.024864 (A**-3)	chempot:	-2.152259 (K)
Pressure:	16.300000 (bar)	 density:	0.024878 (A**-3)	chempot:	-2.123138 (K)
Pressure:	16.400000 (bar)	 density:	0.024892 (A**-3)	chempot:	-2.094033 (K)
Pressure:	16.500000 (bar)	 density:	0.024906 (A**-3)	chempot:	-2.064945 (K)
Pressure:	16.600000 (bar)	 density:	0.024920 (A**-3)	chempot:	-2.035873 (K)
Pressure:	16.700000 (bar)	 density:	0.024934 (A**-3)	chempot:	-2.006817 (K)
Pressure:	16.800000 (bar)	 density:	0.024948 (A**-3)	chempot:	-1.977777 (K)
Pressure:	16.900000 (bar)	 density:	0.024961 (A**-3)	chempot:	-1.948754 (K)
Pressure:	17.000000 (bar)	 density:	0.024975 (A**-3)	chempot:	-1.919746 (K)
Pressure:	17.100000 (bar)	 density:	0.024989 (A**-3)	chempot:	-1.890754 (K)
Pressure:	17.200000 (bar)	 density:	0.025003 (A**-3)	chempot:	-1.861779 (K)
Pressure:	17.300000 (bar)	 density:	0.025016 (A**-3)	chempot:	-1.832819 (K)
Pressure:	17.400000 (bar)	 density:	0.025030 (A**-3)	chempot:	-1.803874 (K)
Pressure:	17.500000 (bar)	 density:	0.025043 (A**-3)	chempot:	-1.774946 (K)
Pressure:	17.600000 (bar)	 density:	0.025057 (A**-3)	chempot:	-1.746033 (K)
Pressure:	17.700000 (bar)	 density:	0.025071 (A**-3)	chempot:	-1.717136 (K)
Pressure:	17.800000 (bar)	 density:	0.025084 (A**-3)	chempot:	-1.688254 (K)
Pressure:	17.900000 (bar)	 density:	0.025097 (A**-3)	chempot:	-1.659388 (K)
Pressure:	18.000000 (bar)	 density:	0.025111 (A**-3)	chempot:	-1.630537 (K)
Pressure:	18.100000 (bar)	 density:	0.025124 (A**-3)	chempot:	-1.601702 (K)
Pressure:	18.200000 (bar)	 density:	0.025138 (A**-3)	chempot:	-1.572882 (K)
Pressure:	18.300000 (bar)	 density:	0.025151 (A**-3)	chempot:	-1.544077 (K)
Pressure:	18.400000 (bar)	 density:	0.025164 (A**-3)	chempot:	-1.515288 (K)
Pressure:	18.500000 (bar)	 density:	0.025177 (A**-3)	chempot:	-1.486514 (K)
Pressure:	18.600000 (bar)	 density:	0.025191 (A**-3)	chempot:	-1.457755 (K)
Pressure:	18.700000 (bar)	 density:	0.025204 (A**-3)	chempot:	-1.429010 (K)
Pressure:	18.800000 (bar)	 density:	0.025217 (A**-3)	chempot:	-1.400281 (K)
Pressure:	18.900000 (bar)	 density:	0.025230 (A**-3)	chempot:	-1.371567 (K)
Pressure:	19.000000 (bar)	 density:	0.025243 (A**-3)	chempot:	-1.342868 (K)
Pressure:	19.100000 (bar)	 density:	0.025256 (A**-3)	chempot:	-1.314184 (K)
Pressure:	19.200000 (bar)	 density:	0.025269 (A**-3)	chempot:	-1.285514 (K)
Pressure:	19.300000 (bar)	 density:	0.025282 (A**-3)	chempot:	-1.256860 (K)
Pressure:	19.400000 (bar)	 density:	0.025295 (A**-3)	chempot:	-1.228220 (K)
Pressure:	19.500000 (bar)	 density:	0.025308 (A**-3)	chempot:	-1.199595 (K)
Pressure:	19.600000 (bar)	 density:	0.025321 (A**-3)	chempot:	-1.170984 (K)
Pressure:	19.700000 (bar)	 density:	0.025334 (A**-3)	chempot:	-1.142388 (K)
Pressure:	19.800000 (bar)	 density:	0.025347 (A**-3)	chempot:	-1.113806 (K)
Pressure:	19.900000 (bar)	 density:	0.025360 (A**-3)	chempot:	-1.085239 (K)
Pressure:	20.000000 (bar)	 density:	0.025373 (A**-3)	chempot:	-1.056687 (K)
Pressure:	20.100000 (bar)	 density:	0.025386 (A**-3)	chempot:	-1.028148 (K)
Pressure:	20.200000 (bar)	 density:	0.025398 (A**-3)	chempot:	-0.999624 (K)
Pressure:	20.300000 (bar)	 density:	0.025411 (A**-3)	chempot:	-0.971115 (K)
Pressure:	20.400000 (bar)	 density:	0.025424 (A**-3)	chempot:	-0.942619 (K)
Pressure:	20.500000 (bar)	 density:	0.025436 (A**-3)	chempot:	-0.914138 (K)
Pressure:	20.600000 (bar)	 density:	0.025449 (A**-3)	chempot:	-0.885677 (K)
Pressure:	20.700000 (bar)	 density:	0.025462 (A**-3)	chempot:	-0.857225 (K)
Pressure:	20.800000 (bar)	 density:	0.025474 (A**-3)	chempot:	-0.828786 (K)
Pressure:	20.900000 (bar)	 density:	0.025487 (A**-3)	chempot:	-0.800361 (K)
Pressure:	21.000000 (bar)	 density:	0.025499 (A**-3)	chempot:	-0.771951 (K)
Pressure:	21.100000 (bar)	 density:	0.025512 (A**-3)	chempot:	-0.743554 (K)
Pressure:	21.200000 (bar)	 density:	0.025524 (A**-3)	chempot:	-0.715172 (K)
Pressure:	21.300000 (bar)	 density:	0.025537 (A**-3)	chempot:	-0.686803 (K)
Pressure:	21.400000 (bar)	 density:	0.025549 (A**-3)	chempot:	-0.658448 (K)
